City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Chuy,UY,73.76,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
6,Lompoc,US,84.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
8,Rikitea,PF,73.71,clear sky,-23.1203,-134.9692,People ThankYou
11,Meulaboh,ID,75.25,overcast clouds,4.1363,96.1285,Kost Pria
19,Mahebourg,MU,73.69,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
20,Vaini,TO,86.16,few clouds,-21.2,-175.2,Keleti Beach Resort
21,Saint-Philippe,RE,72.99,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
22,Victoria,HK,75.25,scattered clouds,22.2855,114.1577,Mini Hotel Central
27,Alice Springs,AU,71.15,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
29,Pringsewu,ID,73.8,moderate rain,-5.3582,104.9744,Urban Style by Front One
30,Hithadhoo,MV,81.18,overcast clouds,-0.6,73.0833,Scoop Guest House
33,Kaabong,UG,70.47,broken clouds,3.4836,34.1492,Rock Motel Ltd
37,Karratha,AU,74.97,light rain,-20.7377,116.8463,ibis Styles Karratha
38,Nouadhibou,MR,71.58,clear sky,20.931,-17.0347,El Medina
47,Pochutla,MX,87.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
49,Bandarbeyla,SO,76.35,few clouds,9.4942,50.8122,JABIR HOTEL
54,Mana,GF,78.62,broken clouds,5.6592,-53.7767,LE SAMANA
55,Mombasa,KE,79.21,few clouds,-4.0547,39.6636,Marigold Guest House
60,East London,ZA,70.18,overcast clouds,-33.0153,27.9116,Tu Casa
64,Lorengau,PG,84.07,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
65,Kapaa,US,82.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
66,Goure,NE,82.02,clear sky,13.9835,10.2704,
70,Kavieng,PG,84.6,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
71,Dhidhdhoo,MV,81.12,overcast clouds,6.8833,73.1,Dhidhoo beach
72,Pitimbu,BR,81.19,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
74,Ipira,BR,79.3,broken clouds,-12.1583,-39.7372,Pallace Hotel e Restaurante
77,Diapaga,BF,81.37,clear sky,12.0708,1.7889,
78,Luanda,AO,78.8,scattered clouds,-8.8368,13.2343,Hotel Fórum
81,Barahona,DO,85.82,few clouds,18.2085,-71.1008,Hotel Caribe
84,Poum,NC,76.82,clear sky,-20.2333,164.0167,Gîte kajeon
86,Bambous Virieux,MU,73.65,light rain,-20.3428,57.7575,Casa Tia Villa
90,Jardim,BR,81.95,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
93,Sao Filipe,CV,80.94,overcast clouds,14.8961,-24.4956,Hotel Xaguate
95,Ahuimanu,US,83.79,few clouds,21.4447,-157.8378,Paradise Bay Resort
96,Hilo,US,80.33,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
97,Vaitape,PF,79.75,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
98,Atuona,PF,78.66,overcast clouds,-9.8,-139.0333,Villa Enata
101,Coihueco,CL,84.94,clear sky,-36.6167,-71.8333,Frutillares Coihueco
102,Mar Del Plata,AR,73.42,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
103,Wattegama,LK,70.72,broken clouds,6.7989,81.4808,
105,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
106,Krabi,TH,84.97,few clouds,8.0726,98.9105,Tharapark View Hotel
109,Sao Jose Da Coroa Grande,BR,79.18,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
111,Le Vauclin,MQ,82.53,clear sky,14.5452,-60.8388,Hôtel Cap Macabou
113,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
129,Cacequi,BR,77.56,clear sky,-29.8836,-54.825,Hotel e Churrascaria Gaúcho
133,Byron Bay,AU,74.05,light rain,-28.65,153.6167,Backpackers Inn on the Beach
136,Bengkulu,ID,76.28,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
139,Wanning,CN,73.92,clear sky,18.8003,110.3967,Paradise Hotel
142,Laguna,US,73.02,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
143,Tambacounda,SN,80.65,clear sky,13.7539,-13.7586,
153,Puerto Cabezas,NI,80.56,broken clouds,14.0351,-83.3888,Cabaña Caribe
154,Biak,ID,76.86,broken clouds,-0.9131,122.8766,Penginapan Kim
156,Bilma,NE,77.38,clear sky,18.6853,12.9164,Expeditions Ténére voyages
157,Ishigaki,JP,71.73,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
158,Tagusao,PH,78.87,few clouds,9.1924,117.8141,Toledo
159,Butaritari,KI,80.98,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
160,Guane,CU,78.84,light rain,22.2025,-84.0875,base de Campismo LosPortales de Guane
164,Tual,ID,83.91,light rain,-5.6667,132.75,Grand Vilia Hotel
165,Maceio,BR,81.84,clear sky,-9.6658,-35.7353,Poutur Pousada
166,Boende,CD,71.4,overcast clouds,-0.2167,20.8667,
167,Grand Gaube,MU,73.8,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
169,Itoman,JP,77.02,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
171,Teahupoo,PF,80.56,few clouds,-17.8333,-149.2667,Vanira Lodge
172,Padang,ID,77.52,overcast clouds,-0.9492,100.3543,Mercure Padang
179,Sola,VU,81.27,scattered clouds,-13.8833,167.55,Leumerus Bungalows
181,Pacific Grove,US,77.58,clear sky,36.6177,-121.9166,Lovers Point Inn
183,Kahului,US,84.97,clear sky,20.8947,-156.47,Maui Seaside Hotel
184,Daru,PG,83.75,overcast clouds,-9.0763,143.2092,Daru Lodge
188,Cabo San Lucas,MX,83.61,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
194,Karaton,ID,81.95,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
197,Amahai,ID,79.05,moderate rain,-3.3333,128.9167,HOTEL ISABELA
208,Alice Town,BS,77.7,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
211,Takoradi,GH,80.15,scattered clouds,4.8845,-1.7554,Raybow International Hotel
219,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
221,Quatre Cocos,MU,73.51,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
223,Ondjiva,AO,78.22,broken clouds,-17.0667,15.7333,COMBUESA
