City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tasiilaq,GL,65.6145,-37.6368,30.36,97,100,10.87,snow
1,Punta Arenas,CL,-53.15,-70.9167,44.71,53,75,24.16,light rain
2,Ushuaia,AR,-54.8,-68.3,38.86,70,40,23.02,light rain
3,Portland,US,45.5234,-122.6762,55.51,81,90,3.0,overcast clouds
4,Yatsushiro,JP,32.5,130.6,57.6,96,100,5.66,moderate rain
5,Chuy,UY,-33.6971,-53.4616,73.76,67,6,9.37,clear sky
6,Lompoc,US,34.6391,-120.4579,84.78,38,1,12.66,clear sky
7,Fortuna,US,40.5982,-124.1573,66.92,55,1,1.99,clear sky
8,Rikitea,PF,-23.1203,-134.9692,73.71,65,0,6.13,clear sky
9,Port Elizabeth,ZA,-33.918,25.5701,69.1,88,90,13.8,overcast clouds
10,Charleston,US,32.7766,-79.9309,69.22,73,1,4.0,clear sky
11,Meulaboh,ID,4.1363,96.1285,75.25,89,100,2.39,overcast clouds
12,Hobart,AU,-42.8794,147.3294,65.01,70,75,1.01,broken clouds
13,Port Alfred,ZA,-33.5906,26.891,69.55,87,99,25.41,overcast clouds
14,Albany,US,42.6001,-73.9662,48.07,60,100,1.01,overcast clouds
15,Saldanha,ZA,-33.0117,17.9442,60.85,83,0,17.85,clear sky
16,Jumla,NP,29.2747,82.1838,40.53,27,0,2.98,clear sky
17,Namibe,AO,-15.1961,12.1522,67.03,81,16,4.0,few clouds
18,Cherskiy,RU,68.75,161.3,-30.19,100,61,4.61,broken clouds
19,Mahebourg,MU,-20.4081,57.7,73.69,88,40,3.44,light rain
20,Vaini,TO,-21.2,-175.2,86.16,79,20,5.75,few clouds
21,Saint-Philippe,RE,-21.3585,55.7679,72.99,76,4,6.73,clear sky
22,Victoria,HK,22.2855,114.1577,75.25,90,44,5.01,scattered clouds
23,Cape Town,ZA,-33.9258,18.4232,66.61,81,0,20.71,clear sky
24,Margate,GB,51.3813,1.3862,43.7,86,40,26.51,scattered clouds
25,Tiksi,RU,71.6872,128.8694,-16.82,99,100,1.92,overcast clouds
26,Busselton,AU,-33.65,115.3333,60.08,86,98,16.4,overcast clouds
27,Alice Springs,AU,-23.7,133.8833,71.15,37,31,5.75,scattered clouds
28,Thompson,CA,55.7435,-97.8558,6.96,61,20,17.27,few clouds
29,Pringsewu,ID,-5.3582,104.9744,73.8,95,100,2.44,moderate rain
30,Hithadhoo,MV,-0.6,73.0833,81.18,78,100,10.0,overcast clouds
31,Narsaq,GL,60.9167,-46.05,34.02,94,99,3.04,overcast clouds
32,Astara,AZ,38.5,48.6667,34.5,74,9,2.93,clear sky
33,Kaabong,UG,3.4836,34.1492,70.47,53,69,14.63,broken clouds
34,New Norfolk,AU,-42.7826,147.0587,64.65,55,76,1.99,broken clouds
35,Mataura,NZ,-46.1927,168.8643,50.11,98,100,0.51,overcast clouds
36,Flagstaff,US,35.1981,-111.6513,57.67,23,1,11.99,clear sky
37,Karratha,AU,-20.7377,116.8463,74.97,64,100,7.02,light rain
38,Nouadhibou,MR,20.931,-17.0347,71.58,68,0,13.8,clear sky
39,Yulara,AU,-25.2406,130.9889,69.64,32,80,10.36,broken clouds
40,Mukhen,RU,48.1,136.1,25.56,77,100,7.29,snow
41,Kaitangata,NZ,-46.2817,169.8464,51.33,90,100,2.15,overcast clouds
42,Vardo,NO,70.3705,31.1107,28.38,50,100,20.71,overcast clouds
43,Bluff,NZ,-46.6,168.3333,52.16,79,100,8.86,overcast clouds
44,Carnarvon,AU,-24.8667,113.6333,62.67,72,75,8.05,broken clouds
45,Zarate,AR,-34.0981,-59.0286,91.04,21,2,8.52,clear sky
46,Bonavista,CA,48.6499,-53.1147,31.12,58,21,6.71,few clouds
47,Pochutla,MX,15.7432,-96.4661,87.82,61,7,6.76,clear sky
48,Nanortalik,GL,60.1432,-45.2371,32.34,93,100,4.0,overcast clouds
49,Bandarbeyla,SO,9.4942,50.8122,76.35,71,21,13.38,few clouds
50,Grindavik,IS,63.8424,-22.4338,41.47,87,90,20.71,overcast clouds
51,Bilibino,RU,68.0546,166.4372,-19.12,85,3,3.53,clear sky
52,Nuuk,GL,64.1835,-51.7216,20.48,95,94,1.74,light snow
53,Clyde River,CA,70.4692,-68.5914,1.63,92,93,5.75,light snow
54,Mana,GF,5.6592,-53.7767,78.62,85,64,7.38,broken clouds
55,Mombasa,KE,-4.0547,39.6636,79.21,83,20,0.0,few clouds
56,Barrow,US,71.2906,-156.7887,-5.78,77,40,11.5,haze
57,Aleksandrov Gay,RU,50.147,48.5704,37.85,85,100,14.85,overcast clouds
58,Kristiansund,NO,63.1115,7.732,38.05,81,75,10.36,light rain
59,Romilly-Sur-Seine,FR,48.5108,3.7263,44.42,91,100,8.88,overcast clouds
60,East London,ZA,-33.0153,27.9116,70.18,87,100,18.7,overcast clouds
61,Kamina,CD,-8.7386,24.9906,64.54,88,99,2.68,overcast clouds
62,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,96,40,3.0,scattered clouds
63,Kodiak,US,57.79,-152.4072,29.71,37,1,3.44,clear sky
