City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2021-11-20 02:48:05,42.6001,-73.9662,35.74,75,0,3.0
1,Esperance,AU,2021-11-20 02:48:07,-33.8667,121.9,66.04,49,4,11.23
2,Olafsvik,IS,2021-11-20 02:48:07,64.8945,-23.7142,34.61,71,73,17.02
3,Fortuna,US,2021-11-20 02:48:07,40.5982,-124.1573,53.42,73,90,4.61
4,Floro,NO,2021-11-20 02:48:08,61.5996,5.0328,45.97,87,90,13.8
5,Cam Ranh,VN,2021-11-20 02:48:08,11.9214,109.1591,75.16,94,75,2.3
6,Nabire,ID,2021-11-20 02:48:08,-3.3667,135.4833,87.3,64,27,6.38
7,Rikitea,PF,2021-11-20 02:48:08,-23.1203,-134.9692,73.67,66,34,10.02
8,Vaini,TO,2021-11-20 02:48:09,-21.2,-175.2,84.36,79,20,9.22
9,Orlik,RU,2021-11-20 02:48:09,52.5178,99.825,5.7,79,100,4.36
10,Georgetown,MY,2021-11-20 02:43:26,5.4112,100.3354,85.95,82,20,1.01
11,Baykit,RU,2021-11-20 02:48:09,61.67,96.37,-6.16,100,100,0.96
12,Butaritari,KI,2021-11-20 02:48:09,3.0707,172.7902,82.27,72,100,17.38
13,Esil,KZ,2021-11-20 02:48:10,51.9556,66.4042,10.72,92,83,11.74
14,Barrow,US,2021-11-20 02:48:10,71.2906,-156.7887,10.42,79,75,8.05
15,Aracati,BR,2021-11-20 02:48:10,-4.5617,-37.7697,80.4,69,87,14.56
16,Jamestown,US,2021-11-20 02:43:46,42.097,-79.2353,37.51,93,90,8.05
17,Sur,OM,2021-11-20 02:48:10,22.5667,59.5289,74.25,53,0,5.14
18,Marsaxlokk,MT,2021-11-20 02:48:11,35.8419,14.5431,56.01,94,20,4.61
19,Guane,CU,2021-11-20 02:48:11,22.2025,-84.0875,72.77,92,99,6.44
20,Mataura,NZ,2021-11-20 02:48:11,-46.1927,168.8643,61.99,67,99,3.89
21,Manyana,BW,2021-11-20 02:48:11,-23.4,21.7167,68.74,17,82,7.74
22,Hobart,AU,2021-11-20 02:45:35,-42.8794,147.3294,63.01,74,75,1.01
23,Punta Arenas,CL,2021-11-20 02:45:34,-53.15,-70.9167,44.71,76,40,39.12
24,Tasiilaq,GL,2021-11-20 02:48:12,65.6145,-37.6368,24.96,75,100,4.81
25,Faya,SA,2021-11-20 02:48:12,18.3851,42.4509,54.12,86,0,6.08
26,Hamilton,US,2021-11-20 02:48:12,39.1834,-84.5333,34.79,78,1,0.0
27,Tuktoyaktuk,CA,2021-11-20 02:48:12,69.4541,-133.0374,-4.0,84,20,4.61
28,North Bend,US,2021-11-20 02:48:13,43.4065,-124.2243,48.94,94,1,4.61
29,Isangel,VU,2021-11-20 02:48:13,-19.55,169.2667,82.51,78,90,0.0
30,Kuyanovo,RU,2021-11-20 02:48:13,55.8014,54.5372,29.55,96,100,17.02
31,Fairbanks,US,2021-11-20 02:43:39,64.8378,-147.7164,-15.39,73,1,0.0
32,Ushuaia,AR,2021-11-20 02:48:13,-54.8,-68.3,40.66,65,40,28.77
33,Sindor,RU,2021-11-20 02:48:14,62.8629,51.8905,28.65,95,100,9.35
34,Ancud,CL,2021-11-20 02:48:14,-41.8697,-73.8203,51.33,93,5,1.9
35,Port Lincoln,AU,2021-11-20 02:48:14,-34.7333,135.8667,61.0,56,30,13.87
36,Aklavik,CA,2021-11-20 02:48:14,68.2191,-135.0107,4.03,81,100,14.88
37,Cidreira,BR,2021-11-20 02:48:15,-30.1811,-50.2056,62.53,71,0,6.6
38,Atuona,PF,2021-11-20 02:48:15,-9.8,-139.0333,78.1,78,3,13.51
39,Bredasdorp,ZA,2021-11-20 02:48:15,-34.5322,20.0403,57.27,77,91,11.23
40,Busselton,AU,2021-11-20 02:48:15,-33.65,115.3333,72.09,44,9,7.14
41,San Policarpo,PH,2021-11-20 02:48:16,12.1791,125.5072,83.7,75,97,6.98
42,Saint George,US,2021-11-20 02:44:20,37.1041,-113.5841,59.34,38,1,1.01
43,Villa Maria,AR,2021-11-20 02:48:16,-32.4075,-63.2402,68.79,41,0,5.84
44,Port Alfred,ZA,2021-11-20 02:48:16,-33.5906,26.891,60.4,78,60,2.84
45,Bluff,NZ,2021-11-20 02:48:16,-46.6,168.3333,51.87,83,99,1.88
46,Princeton,US,2021-11-20 02:48:17,25.5384,-80.4089,75.02,94,90,10.36
47,Plettenberg Bay,ZA,2021-11-20 02:49:17,-34.0527,23.3716,55.67,77,0,3.13
48,Krotoszyn,PL,2021-11-20 02:49:17,51.6987,17.4374,52.56,82,76,21.45
49,Castro,BR,2021-11-20 02:49:17,-24.7911,-50.0119,58.95,91,93,9.75
50,Cape Town,ZA,2021-11-20 02:46:03,-33.9258,18.4232,62.11,68,0,21.85
51,Bethel,US,2021-11-20 02:49:18,41.3712,-73.414,41.36,63,1,1.01
52,Faanui,PF,2021-11-20 02:49:18,-16.4833,-151.75,80.31,79,17,17.67
53,Avarua,CK,2021-11-20 02:49:18,-21.2078,-159.775,80.65,69,40,16.11
54,Aswan,EG,2021-11-20 02:49:19,24.0934,32.907,60.1,63,0,14.97
55,Kapaa,US,2021-11-20 02:49:19,22.0752,-159.319,82.72,72,40,1.01
56,Caravelas,BR,2021-11-20 02:49:19,-17.7125,-39.2481,76.5,88,78,10.4
57,Narsaq,GL,2021-11-20 02:49:19,60.9167,-46.05,28.62,85,100,13.33
58,Mar Del Plata,AR,2021-11-20 02:49:19,-38.0023,-57.5575,58.08,92,0,5.01
59,Khatanga,RU,2021-11-20 02:49:20,71.9667,102.5,-19.79,97,100,4.65
60,Kargopol,RU,2021-11-20 02:49:20,61.5071,38.9456,28.8,96,63,4.88
61,Vila Velha,BR,2021-11-20 02:45:57,-20.3297,-40.2925,75.94,93,75,4.0
62,College,US,2021-11-20 02:49:20,64.8569,-147.8028,-15.14,73,20,0.0
63,Luderitz,NA,2021-11-20 02:49:20,-26.6481,15.1594,57.09,81,5,15.55
64,Klaksvik,FO,2021-11-20 02:49:21,62.2266,-6.589,43.72,75,100,10.38
65,Talnakh,RU,2021-11-20 02:49:21,69.4865,88.3972,-13.36,95,69,7.56
66,Petropavlovsk-Kamchatskiy,RU,2021-11-20 02:49:21,53.0452,158.6483,25.39,80,75,4.47
67,Sukhumi,GE,2021-11-20 02:49:22,43.0033,41.0153,49.42,87,100,4.99
68,Nicoya,CR,2021-11-20 02:49:22,10.1483,-85.452,74.75,92,45,2.28
69,Suntar,RU,2021-11-20 02:49:22,62.1444,117.6319,-0.35,92,100,2.51
70,The Valley,AI,2021-11-20 02:49:22,18.217,-63.0578,81.1,73,11,16.93
71,Kenai,US,2021-11-20 02:49:23,60.5544,-151.2583,0.03,85,1,3.44
72,Raudeberg,NO,2021-11-20 02:49:23,61.9875,5.1352,44.87,90,100,11.01
73,Manokwari,ID,2021-11-20 02:49:23,-0.8667,134.0833,84.33,69,20,6.26
74,Rocha,UY,2021-11-20 02:49:23,-34.4833,-54.3333,57.56,74,0,3.02
75,Atar,MR,2021-11-20 02:49:24,20.5169,-13.0499,76.62,32,99,4.25
76,Davidson,US,2021-11-20 02:49:24,36.1501,-86.7833,41.43,64,1,0.0
77,Qaanaaq,GL,2021-11-20 02:49:24,77.484,-69.3632,-3.82,71,80,8.14
78,Pisco,PE,2021-11-20 02:49:24,-13.7,-76.2167,65.01,88,0,9.22
79,Itoman,JP,2021-11-20 02:49:25,26.1247,127.6694,77.77,72,40,12.66
80,Bambous Virieux,MU,2021-11-20 02:49:25,-20.3428,57.7575,78.22,78,75,12.66
81,Saint-Augustin,CA,2021-11-20 02:49:25,51.226,-58.6502,35.83,86,83,9.26
82,Upernavik,GL,2021-11-20 02:49:25,72.7868,-56.1549,6.82,64,47,8.32
83,Havoysund,NO,2021-11-20 02:49:26,70.9963,24.6622,36.48,95,100,28.45
84,Katsuura,JP,2021-11-20 02:49:26,35.1333,140.3,67.19,69,40,18.28
85,Stribro,CZ,2021-11-20 02:49:26,49.7529,13.0041,46.85,82,98,6.53
86,Yellowknife,CA,2021-11-20 02:49:26,62.456,-114.3525,-1.68,78,75,9.22
87,Hithadhoo,MV,2021-11-20 02:49:27,-0.6,73.0833,82.22,77,94,21.85
88,Broome,US,2021-11-20 02:49:27,42.2506,-75.833,34.38,76,75,3.0
89,Grand Gaube,MU,2021-11-20 02:49:27,-20.0064,57.6608,78.39,67,0,5.01
90,Chokurdakh,RU,2021-11-20 02:49:27,70.6333,147.9167,-16.19,100,100,3.36
91,Ismailia,EG,2021-11-20 02:49:28,30.6043,32.2723,58.87,82,96,9.04
92,Janakpur,NP,2021-11-20 02:49:28,26.7183,85.9065,71.85,61,30,4.12
93,Adre,TD,2021-11-20 02:49:28,13.4667,22.2,70.9,25,0,15.19
94,Marsa Matruh,EG,2021-11-20 02:50:28,31.3525,27.2453,61.0,94,75,17.27
95,Huarmey,PE,2021-11-20 02:50:29,-10.0681,-78.1522,64.62,88,100,7.23
96,Zhangjiakou,CN,2021-11-20 02:50:29,40.81,114.8794,36.97,52,100,3.38
97,Kolondieba,ML,2021-11-20 02:50:29,11.0882,-6.8926,73.85,32,59,3.56
98,Gamba,GA,2021-11-20 02:50:29,-2.65,10.0,72.64,90,100,2.39
